"","hit_id","query_id","biosample_id","closest_ref","distance","SRM_present","single_closest_ref","na.rm"
"1","Capsule_11.k141_302606_35/64-437","k141_302606_35/64-437","Capsule_11","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"2","Capsule_11.k141_302606_34/11-266","k141_302606_34/11-266","Capsule_11","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"3","Capsule_12.k141_56832_4/63-436","k141_56832_4/63-436","Capsule_12","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0643030545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"4","Capsule_12.k141_258154_11/64-437","k141_258154_11/64-437","Capsule_12","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"5","Capsule_12.k141_262984_31/51-395","k141_262984_31/51-395","Capsule_12","['Gordonibacter_pamelaeae__GrdPame5']",0.260316376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"6","Capsule_12.k141_258154_12/11-266","k141_258154_12/11-266","Capsule_12","['Bilophila_sp._4_1_30__BilSpec3']",0.00166686459370536,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"7","Capsule_12.k141_56832_5/11-266","k141_56832_5/11-266","Capsule_12","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.067299,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"8","Capsule_12.k141_262984_32/3-237","k141_262984_32/3-237","Capsule_12","['Gordonibacter_pamelaeae__GrdPame5']",0.0383342607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"9","Capsule_13.k141_103622_28/51-395","k141_103622_28/51-395","Capsule_13","['Gordonibacter_pamelaeae__GrdPame5']",0.253855376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"10","Capsule_13.k141_103622_27/3-237","k141_103622_27/3-237","Capsule_13","['Gordonibacter_pamelaeae__GrdPame5']",0.0383342607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"11","Capsule_14.k141_162775_7/64-437","k141_162775_7/64-437","Capsule_14","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.007847,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"12","Capsule_14.k141_162775_6/11-266","k141_162775_6/11-266","Capsule_14","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",2e-06,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"13","Capsule_14.k141_54440_2/11-266","k141_54440_2/11-266","Capsule_14","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"14","Capsule_14.k141_153065_2/11-266","k141_153065_2/11-266","Capsule_14","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.094403,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"15","Capsule_14.k141_54440_1/2-210","k141_54440_1/2-210","Capsule_14","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"16","Capsule_14.k141_153065_1/2-210","k141_153065_1/2-210","Capsule_14","['QUERY___Ley3_66761_scaffold_1025_dsrA', 'Desulfovibrio_piger__DslPige2']",NA,TRUE,"Desulfovibrio_piger__DslPige2",TRUE
"17","Capsule_14.k141_148417_5/63-175","k141_148417_5/63-175","Capsule_14","['QUERY___Ley3_66761_scaffold_1025_dsrA', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"18","Capsule_14.k141_54440_5/63-175","k141_54440_5/63-175","Capsule_14","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"19","Capsule_1.k141_35391_6/64-437","k141_35391_6/64-437","Capsule_1","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.007847,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"20","Capsule_1.k141_35391_7/11-266","k141_35391_7/11-266","Capsule_1","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.009594,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"21","Capsule_2.k141_130014_4/63-436","k141_130014_4/63-436","Capsule_2","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0558060545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"22","Capsule_2.k141_128307_22/64-437","k141_128307_22/64-437","Capsule_2","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.007847,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"23","Capsule_2.k141_128307_21/11-266","k141_128307_21/11-266","Capsule_2","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.009594,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"24","Capsule_2.k141_130014_5/11-266","k141_130014_5/11-266","Capsule_2","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"25","Capsule_2.k141_124364_2/63-191","k141_124364_2/63-191","Capsule_2","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.164427054566389,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"26","Capsule_2.k141_67721_1/1-74","k141_67721_1/1-74","Capsule_2","['QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"27","Capsule_3.k141_14201_23/64-437","k141_14201_23/64-437","Capsule_3","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"28","Capsule_3.k141_14201_24/11-266","k141_14201_24/11-266","Capsule_3","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"29","Capsule_4.k141_67355_17/64-437","k141_67355_17/64-437","Capsule_4","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"30","Capsule_4.k141_102741_3/51-395","k141_102741_3/51-395","Capsule_4","['Gordonibacter_pamelaeae__GrdPame5']",0.267414376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"31","Capsule_4.k141_67355_18/11-266","k141_67355_18/11-266","Capsule_4","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"32","Capsule_4.k141_102741_4/3-237","k141_102741_4/3-237","Capsule_4","['Gordonibacter_pamelaeae__GrdPame5']",0.0383342607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"33","Capsule_6.k141_192693_13/64-437","k141_192693_13/64-437","Capsule_6","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"34","Capsule_6.k141_192693_12/11-266","k141_192693_12/11-266","Capsule_6","['Bilophila_sp._4_1_30__BilSpec3']",0.00166686459370536,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"35","Capsule_7.k141_13716_11/64-437","k141_13716_11/64-437","Capsule_7","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"36","Capsule_7.k141_83721_6/51-395","k141_83721_6/51-395","Capsule_7","['Gordonibacter_pamelaeae__GrdPame5']",0.260316376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"37","Capsule_7.k141_250498_14/55-399","k141_250498_14/55-399","Capsule_7","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.37291798423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"38","Capsule_7.k141_13716_12/11-266","k141_13716_12/11-266","Capsule_7","['Bilophila_sp._4_1_30__BilSpec3']",0.00166686459370536,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"39","Capsule_7.k141_83721_7/3-237","k141_83721_7/3-237","Capsule_7","['Gordonibacter_pamelaeae__GrdPame5']",0.0382722607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"40","Capsule_7.k141_250498_13/5-240","k141_250498_13/5-240","Capsule_7","['Desulfitibacter_alkalitolerans__DfiAlka2']",1.30205979648578,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"41","Capsule_7.k141_205318_1/340-593","k141_205318_1/340-593","Capsule_7","['QUERY___Moorella_thermoacetica_2_dsrA']",4.959799,TRUE,"QUERY___Moorella_thermoacetica_2_dsrA",TRUE
"42","Capsule_9.k141_136330_36/64-437","k141_136330_36/64-437","Capsule_9","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.01802,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"43","Capsule_9.k141_113757_11/64-437","k141_113757_11/64-437","Capsule_9","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.028837,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"44","Capsule_9.k141_198101_5/11-266","k141_198101_5/11-266","Capsule_9","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",2e-06,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"45","Capsule_9.k141_136330_35/11-266","k141_136330_35/11-266","Capsule_9","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"46","Capsule_9.k141_231281_4/11-266","k141_231281_4/11-266","Capsule_9","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"47","Capsule_9.k141_113757_10/11-266","k141_113757_10/11-266","Capsule_9","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.094403,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"48","Capsule_9.k141_231281_1/63-251","k141_231281_1/63-251","Capsule_9","['QUERY___Ley3_66761_scaffold_1025_dsrA', 'QUERY___Ley3_66761_scaffold_1830_dsrB']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"49","Capsule_9.k141_304103_25/63-251","k141_304103_25/63-251","Capsule_9","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.016205,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"50","Capsule_9.k141_231281_5/1-232","k141_231281_5/1-232","Capsule_9","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"51","Capsule_9.k141_198101_6/1-154","k141_198101_6/1-154","Capsule_9","['Bilophila_sp._4_1_30__BilSpec3']",0.135920864593705,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"52","Stool_11.k141_174147_11/64-437","k141_174147_11/64-437","Stool_11","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"53","Stool_11.k141_174147_10/11-266","k141_174147_10/11-266","Stool_11","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"54","Stool_11.k141_164495_1/7-240","k141_164495_1/7-240","Stool_11","['Desulfitibacter_alkalitolerans__DfiAlka2']",0.921408796485778,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"55","Stool_12.k141_28767_4/63-436","k141_28767_4/63-436","Stool_12","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0643030545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"56","Stool_12.k141_103584_11/64-437","k141_103584_11/64-437","Stool_12","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"57","Stool_12.k141_304901_1/18-362","k141_304901_1/18-362","Stool_12","['Gordonibacter_pamelaeae__GrdPame5']",0.260391376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"58","Stool_12.k141_103584_12/11-266","k141_103584_12/11-266","Stool_12","['Bilophila_sp._4_1_30__BilSpec3']",0.00166686459370536,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"59","Stool_12.k141_28767_5/11-266","k141_28767_5/11-266","Stool_12","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.067299,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"60","Stool_12.k141_304901_2/3-237","k141_304901_2/3-237","Stool_12","['Gordonibacter_pamelaeae__GrdPame5']",0.0383342607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"61","Stool_13.k141_230282_22/51-395","k141_230282_22/51-395","Stool_13","['Gordonibacter_pamelaeae__GrdPame5']",0.253855376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"62","Stool_13.k141_230282_21/3-237","k141_230282_21/3-237","Stool_13","['Gordonibacter_pamelaeae__GrdPame5']",0.0383342607019147,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"63","Stool_13.k141_93091_5/40-291","k141_93091_5/40-291","Stool_13","['QUERY___Moorella_thermoacetica_2_dsrA']",5.486917,TRUE,"QUERY___Moorella_thermoacetica_2_dsrA",TRUE
"64","Stool_14.k141_186679_4/64-437","k141_186679_4/64-437","Stool_14","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.007847,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"65","Stool_14.k141_27652_2/11-266","k141_27652_2/11-266","Stool_14","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.210372,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"66","Stool_14.k141_186679_3/11-266","k141_186679_3/11-266","Stool_14","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",2e-06,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"67","Stool_14.k141_240512_2/11-266","k141_240512_2/11-266","Stool_14","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"68","Stool_14.k141_240693_2/11-266","k141_240693_2/11-266","Stool_14","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.094403,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"69","Stool_14.k141_240693_1/2-210","k141_240693_1/2-210","Stool_14","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"70","Stool_14.k141_240512_1/2-210","k141_240512_1/2-210","Stool_14","['QUERY___Ley3_66761_scaffold_1025_dsrA', 'Desulfovibrio_piger__DslPige2']",NA,TRUE,"Desulfovibrio_piger__DslPige2",TRUE
